,age,class_of_worker,education,marital_stat,major_occupation_code,race,sex,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,detailed_household_summary_in_household,num_persons_worked_for_employer,country_of_birth_self,citizenship,own_business_or_self_employed,weeks_worked_in_year,target
24,44, Not in universe, Bachelors degree(BA AB BS), Divorced, Not in universe, White, Female,0, Nonfiler, Not in universe, Child 18 or older,0, Italy, Foreign born- U S citizen by naturalization,0,0, - 50000.
25,36, Private, 10th grade, Never married, Machine operators assmblrs & inspctrs, White, Female,0, Single, Not in universe, Child 18 or older,3, United-States, Native- Born in the United States,0,52, - 50000.
26,14, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
27,72, Private, Some college but no degree, Married-civilian spouse present, Sales, White, Male,0, Joint both 65+, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
28,38, Self-employed-incorporated, Bachelors degree(BA AB BS), Married-civilian spouse present, Executive admin and managerial, Asian or Pacific Islander, Female,100, Joint both under 65, Not in universe, Spouse of householder,6, ?, Foreign born- Not a citizen of U S ,0,52, - 50000.
29,13, Not in universe, Children, Never married, Not in universe, Asian or Pacific Islander, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, Philippines, Foreign born- Not a citizen of U S ,0,0, - 50000.
30,20, Private, High school graduate, Never married, Machine operators assmblrs & inspctrs, White, Female,0, Nonfiler, Midwest, Child 18 or older,5, United-States, Native- Born in the United States,0,10, - 50000.
31,38, Local government, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Professional specialty, White, Female,100, Joint both under 65, Not in universe, Spouse of householder,2, United-States, Native- Born in the United States,2,52, - 50000.
32,42, Self-employed-not incorporated, Some college but no degree, Married-civilian spouse present, Professional specialty, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
33,66, Not in universe, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Not in universe, White, Male,1600, Joint both 65+, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
34,40, Private, High school graduate, Separated, Precision production craft & repair, White, Male,0, Single, Northeast, Householder,2, United-States, Native- Born in the United States,2,10, - 50000.
35,19, Private, High school graduate, Married-A F spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,46, - 50000.
36,53, Private, High school graduate, Married-civilian spouse present, Handlers equip cleaners etc , White, Male,45, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
37,18, Not in universe, Some college but no degree, Never married, Not in universe, White, Female,0, Single, Not in universe, Child 18 or older,2, United-States, Native- Born in the United States,0,10, - 50000.
38,57, Private, 9th grade, Married-civilian spouse present, Other service, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,4, United-States, Native- Born in the United States,0,40, - 50000.
39,20, Private, Some college but no degree, Never married, Other service, White, Male,0, Single, Not in universe, Child 18 or older,2, United-States, Native- Born in the United States,0,52, - 50000.
40,4, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
41,3, Not in universe, Children, Never married, Not in universe, Black, Male,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
42,5, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
43,66, Not in universe, 7th and 8th grade, Married-civilian spouse present, Not in universe, White, Male,0, Joint one under 65 & one 65+, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
44,10, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
45,33, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Northeast, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
46,24, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Professional specialty, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,3, United-States, Native- Born in the United States,0,52, - 50000.
47,18, Private, 11th grade, Married-civilian spouse present, Sales, Other, Female,0, Joint both under 65, Northeast, Householder,4, United-States, Native- Born in the United States,2,20, - 50000.
48,4, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, West, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
49,52, Private, High school graduate, Married-civilian spouse present, Other service, White, Male,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
50,11, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
51,3, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
52,15, Not in universe, 9th grade, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
53,2, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
54,18, Private, Some college but no degree, Never married, Other service, White, Male,0, Single, Not in universe, Child 18 or older,4, United-States, Native- Born in the United States,2,52, - 50000.
55,23, Private, Some college but no degree, Never married, Adm support including clerical, White, Male,0, Single, Not in universe, Child 18 or older,3, United-States, Native- Born in the United States,2,30, - 50000.
56,18, Not in universe, 10th grade, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child 18 or older,0, United-States, Native- Born in the United States,0,0, - 50000.
57,29, Not in universe, Some college but no degree, Divorced, Not in universe, White, Female,0, Nonfiler, Not in universe, Child 18 or older,0, United-States, Native- Born in the United States,0,0, - 50000.
58,44, Private, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,1,52, - 50000.
59,69, Not in universe, 12th grade no diploma, Never married, Not in universe, White, Female,155, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
60,42, Local government, Some college but no degree, Divorced, Precision production craft & repair, White, Male,0, Single, Not in universe, Nonrelative of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
61,30, Self-employed-not incorporated, Associates degree-occup /vocational, Married-civilian spouse present, Precision production craft & repair, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
62,66, Not in universe, 7th and 8th grade, Widowed, Not in universe, White, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
63,40, Private, High school graduate, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
64,29, Private, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Professional specialty, White, Male,0, Joint both under 65, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, 50000+.
65,8, Not in universe, Children, Never married, Not in universe, Asian or Pacific Islander, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
66,67, Not in universe, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Not in universe, White, Male,0, Joint both 65+, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
67,2, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
68,8, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
69,0, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
70,36, Not in universe, 7th and 8th grade, Married-civilian spouse present, Not in universe, White, Male,0, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,0,39, - 50000.
71,17, Private, 11th grade, Never married, Sales, White, Male,0, Single, Not in universe, Child under 18 never married,6, United-States, Native- Born in the United States,0,25, - 50000.
72,49, Private, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,200, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
73,39, Private, Some college but no degree, Never married, Adm support including clerical, White, Female,391, Single, Not in universe, Child 18 or older,6, United-States, Native- Born in the United States,2,52, - 50000.
74,32, Self-employed-not incorporated, Bachelors degree(BA AB BS), Married-civilian spouse present, Sales, Asian or Pacific Islander, Female,0, Joint both under 65, Not in universe, Householder,0, South Korea, Foreign born- Not a citizen of U S ,0,0, - 50000.
75,10, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
76,0, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
77,70, Private, Some college but no degree, Married-civilian spouse present, Adm support including clerical, White, Female,12500, Joint both 65+, Not in universe, Spouse of householder,2, United-States, Native- Born in the United States,0,52, 50000+.
78,31, Private, High school graduate, Never married, Sales, Black, Male,0, Single, Not in universe, Nonrelative of householder,2, United-States, Native- Born in the United States,0,42, - 50000.
79,50, Private, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
80,50, Not in universe, 7th and 8th grade, Divorced, Not in universe, White, Female,0, Head of household, Not in universe, Householder,4, United-States, Native- Born in the United States,0,40, - 50000.
81,41, Private, 11th grade, Never married, Adm support including clerical, White, Female,0, Single, Not in universe, Householder,3, Dominican-Republic, Foreign born- Not a citizen of U S ,0,30, - 50000.
82,3, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
83,40, Local government, High school graduate, Never married, Adm support including clerical, White, Female,0, Single, Not in universe, Child 18 or older,2, United-States, Native- Born in the United States,0,52, - 50000.
84,40, Private, Some college but no degree, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,0,28, - 50000.
85,10, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
86,33, Self-employed-not incorporated, Bachelors degree(BA AB BS), Never married, Executive admin and managerial, White, Male,0, Single, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
87,67, Not in universe, Some college but no degree, Married-civilian spouse present, Not in universe, White, Female,0, Joint both 65+, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
88,60, Private, High school graduate, Separated, Other service, Black, Female,0, Single, Not in universe, Householder,1, United-States, Native- Born in the United States,0,52, - 50000.
89,54, Not in universe, 7th and 8th grade, Married-civilian spouse present, Not in universe, White, Male,0, Joint both under 65, Not in universe, Householder,0, Cuba, Foreign born- U S citizen by naturalization,0,0, - 50000.
90,3, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
91,6, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
92,42, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Technicians and related support, White, Male,0, Joint both under 65, Not in universe, Householder,5, United-States, Native- Born in the United States,0,52, 50000+.
93,36, Private, Associates degree-academic program, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
94,55, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Executive admin and managerial, White, Male,300, Joint both under 65, Not in universe, Householder,6, Puerto-Rico, Native- Born in Puerto Rico or U S Outlying,0,52, 50000+.
95,26, Private, High school graduate, Married-civilian spouse present, Adm support including clerical, White, Female,50, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
96,3, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
97,5, Not in universe, Children, Never married, Not in universe, Black, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
98,58, State government, Bachelors degree(BA AB BS), Married-civilian spouse present, Executive admin and managerial, Black, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, Haiti, Foreign born- Not a citizen of U S ,0,52, 50000+.
99,71, Not in universe, Bachelors degree(BA AB BS), Married-civilian spouse present, Not in universe, White, Male,1525, Joint both 65+, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
100,35, Self-employed-incorporated, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,1, United-States, Native- Born in the United States,0,35, - 50000.
101,6, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, Germany, Native- Born abroad of American Parent(s),0,0, - 50000.
102,2, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
103,87, Not in universe, Associates degree-occup /vocational, Never married, Not in universe, White, Female,1200, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
104,21, Private, Associates degree-academic program, Never married, Other service, White, Female,0, Single, Not in universe, Child 18 or older,3, United-States, Native- Born in the United States,0,14, - 50000.
105,64, Not in universe, Bachelors degree(BA AB BS), Widowed, Not in universe, White, Female,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
106,71, Not in universe, 10th grade, Married-civilian spouse present, Not in universe, White, Female,0, Joint both 65+, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
107,21, Not in universe, 11th grade, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
108,29, Private, 11th grade, Married-civilian spouse present, Other service, White, Female,0, Joint both under 65, Not in universe, Householder,6, Mexico, Foreign born- U S citizen by naturalization,0,52, - 50000.
109,71, Not in universe, High school graduate, Divorced, Not in universe, White, Female,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
110,1, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, West, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
111,36, Private, High school graduate, Divorced, Sales, White, Female,0, Single, Not in universe, Nonrelative of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
112,29, Not in universe, Some college but no degree, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
113,1, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
114,54, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Householder,5, United-States, Native- Born in the United States,0,52, 50000+.
115,22, Private, High school graduate, Never married, Adm support including clerical, White, Female,0, Head of household, Not in universe, Householder,2, United-States, Native- Born in the United States,2,27, - 50000.
116,50, Not in universe, 7th and 8th grade, Married-civilian spouse present, Not in universe, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
117,53, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,200, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
118,10, Not in universe, Children, Never married, Not in universe, Black, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
119,9, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
120,77, Not in universe, High school graduate, Widowed, Not in universe, White, Female,500, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
121,23, Private, Associates degree-occup /vocational, Married-civilian spouse present, Adm support including clerical, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,6, United-States, Native- Born in the United States,0,52, - 50000.
122,32, Private, High school graduate, Separated, Adm support including clerical, White, Male,0, Single, Not in universe, Child 18 or older,6, Mexico, Foreign born- Not a citizen of U S ,0,52, - 50000.
123,67, Self-employed-not incorporated, 1st 2nd 3rd or 4th grade, Widowed, Other service, Black, Female,47, Single, Not in universe, Householder,1, United-States, Native- Born in the United States,0,50, - 50000.
124,23, Private, High school graduate, Never married, Adm support including clerical, White, Female,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,2,52, - 50000.
125,35, Private, Associates degree-academic program, Married-civilian spouse present, Technicians and related support, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
126,25, Private, Bachelors degree(BA AB BS), Never married, Professional specialty, White, Male,5, Single, Not in universe, Nonrelative of householder,3, United-States, Native- Born in the United States,0,52, - 50000.
127,24, Private, 10th grade, Married-civilian spouse present, Other service, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,5, United-States, Native- Born in the United States,0,16, - 50000.
128,20, Private, High school graduate, Never married, Sales, Black, Male,0, Single, Not in universe, Child 18 or older,3, United-States, Native- Born in the United States,0,9, - 50000.
129,35, Private, High school graduate, Separated, Sales, White, Female,0, Head of household, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
130,11, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Other relative of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
131,53, Local government, Some college but no degree, Divorced, Protective services, White, Male,0, Single, Not in universe, Householder,5, United-States, Native- Born in the United States,0,52, - 50000.
132,35, Private, High school graduate, Married-civilian spouse present, Handlers equip cleaners etc , White, Female,0, Joint both under 65, Not in universe, Spouse of householder,2, United-States, Native- Born in the United States,0,52, - 50000.
133,75, Not in universe, Some college but no degree, Widowed, Not in universe, White, Female,0, Nonfiler, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
134,53, Local government, Masters degree(MA MS MEng MEd MSW MBA), Divorced, Professional specialty, White, Female,0, Single, Not in universe, Householder,5, United-States, Native- Born in the United States,0,52, 50000+.
135,15, Private, 9th grade, Never married, Sales, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,6, United-States, Native- Born in the United States,0,8, - 50000.
136,33, Private, Some college but no degree, Never married, Other service, Asian or Pacific Islander, Male,0, Single, Not in universe, Other relative of householder,6, ?, Foreign born- Not a citizen of U S ,0,52, - 50000.
137,6, Not in universe, Children, Never married, Not in universe, Asian or Pacific Islander, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
138,14, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
139,19, Not in universe, 10th grade, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child 18 or older,1, United-States, Native- Born in the United States,0,2, - 50000.
140,27, Private, 11th grade, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint both under 65, Not in universe, Householder,4, United-States, Native- Born in the United States,0,52, 50000+.
141,19, Private, High school graduate, Married-civilian spouse present, Precision production craft & repair, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,3, United-States, Native- Born in the United States,0,50, - 50000.
142,20, Private, High school graduate, Never married, Handlers equip cleaners etc , White, Male,0, Single, Not in universe, Child 18 or older,1, United-States, Native- Born in the United States,0,52, - 50000.
143,73, Not in universe, High school graduate, Widowed, Not in universe, White, Female,0, Single, Not in universe, Householder,0, United-States, Native- Born in the United States,0,0, - 50000.
144,38, Private, High school graduate, Separated, Machine operators assmblrs & inspctrs, White, Female,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,0,52, - 50000.
145,66, Self-employed-incorporated, High school graduate, Divorced, Executive admin and managerial, White, Female,0, Nonfiler, Not in universe, Householder,3, United-States, Native- Born in the United States,0,52, - 50000.
146,49, Self-employed-not incorporated, Doctorate degree(PhD EdD), Never married, Executive admin and managerial, White, Male,0, Single, Not in universe, Householder,1, ?, Foreign born- Not a citizen of U S ,0,52, - 50000.
147,3, Not in universe, Children, Never married, Not in universe, White, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
148,46, Local government, Bachelors degree(BA AB BS), Married-civilian spouse present, Professional specialty, White, Female,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,40, - 50000.
149,38, State government, High school graduate, Married-civilian spouse present, Other service, Black, Female,0, Joint both under 65, Not in universe, Spouse of householder,2, United-States, Native- Born in the United States,0,20, - 50000.
150,39, Private, Prof school degree (MD DDS DVM LLB JD), Married-civilian spouse present, Professional specialty, White, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,2,52, 50000+.
151,14, Not in universe, Children, Never married, Not in universe, Other, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, Iran, Foreign born- Not a citizen of U S ,0,0, - 50000.
152,21, Private, High school graduate, Never married, Machine operators assmblrs & inspctrs, White, Male,0, Single, Midwest, Child 18 or older,3, United-States, Native- Born in the United States,0,36, - 50000.
153,46, Private, 11th grade, Married-civilian spouse present, Machine operators assmblrs & inspctrs, White, Male,0, Joint both under 65, Not in universe, Householder,6, United-States, Native- Born in the United States,0,44, - 50000.
154,43, State government, Bachelors degree(BA AB BS), Divorced, Adm support including clerical, White, Male,0, Single, Not in universe, Householder,6, United-States, Native- Born in the United States,1,52, - 50000.
155,64, Not in universe, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
156,78, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,3500, Joint both 65+, Not in universe, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
157,45, Private, Bachelors degree(BA AB BS), Married-civilian spouse present, Professional specialty, White, Male,0, Joint both under 65, Not in universe, Spouse of householder,1, United-States, Native- Born in the United States,0,52, - 50000.
158,20, Not in universe, Some college but no degree, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child 18 or older,0, United-States, Native- Born in the United States,0,0, - 50000.
159,12, Not in universe, Children, Never married, Not in universe, White, Male,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
160,56, Not in universe, High school graduate, Married-civilian spouse present, Not in universe, White, Female,0, Joint both under 65, Midwest, Spouse of householder,0, United-States, Native- Born in the United States,0,0, - 50000.
161,13, Not in universe, Children, Never married, Not in universe, Black, Female,0, Nonfiler, Not in universe, Child under 18 never married,0, United-States, Native- Born in the United States,0,0, - 50000.
